season,team,first_name,last_name,position_code,position_type,sweater_number,height,weight,birth_date,birth_city,birth_country,birth_state_province,games_played,goals,assists,points,plusminus,penalty_minutes,age,birth_month
2007,ATL,Marian,Hossa,R,forwards,18,73,207,1979-01-12,Stará Lubovna,SVK,NA,82,43,57,100,18,49,28,1
2007,ATL,Ilya,Kovalchuk,L,forwards,17,75,222,1983-04-15,Tver,RUS,NA,82,42,34,76,-2,66,24,4
2007,ATL,Vyacheslav,Kozlov,L,forwards,13,70,190,1972-05-03,Voskresensk,RUS,NA,81,28,52,80,9,36,35,5
2007,ATL,Brad,Larsen,L,forwards,29,72,210,1977-06-28,Nakusp,CAN,British Columbia,72,7,6,13,-11,39,30,6
2007,ATL,Eric,Perrin,C,forwards,11,69,180,1975-11-01,Laval,CAN,Quebec,82,13,23,36,-7,30,32,11
2007,ATL,Jim,Slater,C,forwards,23,72,195,1982-12-09,Lapeer,USA,Michigan,74,5,14,19,8,62,25,12
2007,ATL,Chris,Thorburn,R,forwards,27,75,235,1983-06-03,Sault Ste. Marie,CAN,Ontario,39,3,2,5,1,69,24,6
2007,ATL,Todd,White,C,forwards,12,70,198,1975-05-21,Kanata,CAN,Ontario,77,13,31,44,8,24,32,5
2007,ATL,Garnet,Exelby,D,defensemen,2,73,215,1981-08-16,Craik,CAN,Saskatchewan,58,2,8,10,2,56,26,8
2007,ATL,Niclas,Havelid,D,defensemen,28,72,200,1973-04-12,Stockholm,SWE,NA,77,3,18,21,-2,52,34,4
2007,ATL,Ken,Klee,D,defensemen,22,73,210,1971-04-24,Indianapolis,USA,Indiana,81,3,16,19,18,68,36,4
2007,ATL,Joel,Kwiatkowski,D,defensemen,3,72,205,1977-03-22,Kindersley,CAN,Saskatchewan,42,5,5,10,-6,20,30,3
2007,ATL,Steve,McCarthy,D,defensemen,5,73,210,1981-02-03,Trail,CAN,British Columbia,46,4,12,16,4,24,26,2
2007,ATL,Mark,Popovic,D,defensemen,3,73,205,1982-10-11,Stoney Creek,CAN,Ontario,3,0,1,1,1,0,25,10
2007,ATL,Alexei,Zhitnik,D,defensemen,77,71,225,1972-10-10,Kiev,UKR,NA,79,7,31,38,1,92,35,10
2008,ATL,Colby,Armstrong,R,forwards,20,74,185,1982-11-23,Lloydminster,CAN,Saskatchewan,72,13,22,35,4,56,26,11
2008,ATL,Eric,Boulton,L,forwards,36,72,227,1976-08-17,Halifax,CAN,Nova Scotia,74,4,5,9,-10,127,32,8
2008,ATL,Erik,Christensen,C,forwards,9,73,200,1983-12-17,Edmonton,CAN,Alberta,59,11,13,24,-10,30,25,12
2008,ATL,Ilya,Kovalchuk,L,forwards,17,75,222,1983-04-15,Tver,RUS,NA,79,52,35,87,-12,52,25,4
2008,ATL,Vyacheslav,Kozlov,L,forwards,13,70,190,1972-05-03,Voskresensk,RUS,NA,82,17,24,41,-10,26,36,5
2008,ATL,Bryan,Little,C,forwards,10,72,191,1987-11-12,Edmonton,CAN,Alberta,48,6,10,16,-2,18,21,11
2008,ATL,Joe,Motzko,R,forwards,41,72,184,1980-03-14,Bemidji,USA,Minnesota,8,2,2,4,1,0,28,3
2008,ATL,Eric,Perrin,C,forwards,11,69,180,1975-11-01,Laval,CAN,Quebec,81,12,33,45,-5,26,33,11
2008,ATL,Rich,Peverley,C,forwards,47,71,195,1982-07-08,Kingston,CAN,Ontario,33,5,5,10,4,8,26,7
2008,ATL,Marty,Reasoner,C,forwards,19,73,197,1977-02-26,Honeoye Falls,USA,New York,82,11,14,25,-17,50,31,2
2008,ATL,Jim,Slater,C,forwards,23,72,195,1982-12-09,Lapeer,USA,Michigan,69,8,5,13,-10,41,26,12
2008,ATL,Brett,Sterling,L,forwards,21,67,175,1984-04-24,Los Angeles,USA,California,13,1,2,3,-2,14,24,4
2008,ATL,Colin,Stuart,C,forwards,49,74,205,1982-07-08,Rochester,USA,Minnesota,18,3,2,5,2,6,26,7
2008,ATL,Chris,Thorburn,R,forwards,27,75,235,1983-06-03,Sault Ste. Marie,CAN,Ontario,73,5,13,18,-4,92,25,6
2008,ATL,Todd,White,C,forwards,12,70,198,1975-05-21,Kanata,CAN,Ontario,74,14,23,37,-12,36,33,5
2008,ATL,Jason,Williams,C,forwards,14,71,192,1980-08-11,London,CAN,Ontario,43,13,23,36,-2,22,28,8
2008,ATL,Toby,Enstrom,D,defensemen,39,70,180,1984-11-05,Nordingra,SWE,NA,82,5,33,38,-5,42,24,11
2008,ATL,Garnet,Exelby,D,defensemen,2,73,215,1981-08-16,Craik,CAN,Saskatchewan,79,2,5,7,-21,85,27,8
2008,ATL,Ron,Hainsey,D,defensemen,6,75,201,1981-03-24,Bolton,USA,Connecticut,78,8,24,32,-7,25,27,3
2008,ATL,Niclas,Havelid,D,defensemen,28,72,200,1973-04-12,Stockholm,SWE,NA,81,1,13,14,2,42,35,4
2008,ATL,Mathieu,Schneider,D,defensemen,18,71,192,1969-06-12,New York City,USA,New York,65,12,27,39,22,50,39,6
2008,ATL,Boris,Valabik,D,defensemen,5,79,255,1986-02-14,Nitra,SVK,NA,7,0,0,0,-2,42,22,2
2008,ATL,Clay,Wilson,D,defensemen,40,72,195,1983-04-05,Sturgeon Lake,USA,Minnesota,7,1,1,2,3,2,25,4
2009,ATL,Maxim,Afinogenov,R,forwards,61,72,190,1979-09-04,Moscow,RUS,NA,48,6,14,20,-7,20,30,9
2009,ATL,Maxim,Afinogenov,R,forwards,61,72,190,1979-09-04,Moscow,RUS,NA,56,23,38,61,19,66,30,9
2009,ATL,Nik,Antropov,C,forwards,80,78,245,1980-02-18,Ust-Kamenogorsk,KAZ,NA,81,28,31,59,-14,30,29,2
2009,ATL,Nik,Antropov,C,forwards,80,78,245,1980-02-18,Ust-Kamenogorsk,KAZ,NA,54,18,15,33,8,44,29,2
2009,ATL,Colby,Armstrong,R,forwards,20,74,185,1982-11-23,Lloydminster,CAN,Saskatchewan,82,22,18,40,5,75,27,11
2009,ATL,Colby,Armstrong,R,forwards,20,74,185,1982-11-23,Lloydminster,CAN,Saskatchewan,80,12,22,34,2,67,27,11
2009,ATL,Evgeny,Artyukhin,R,forwards,76,76,255,1983-04-04,Moscow,RUS,NA,73,6,10,16,1,151,26,4
2009,ATL,Niclas,Bergfors,R,forwards,18,70,194,1987-03-07,Sodertalje,SWE,NA,8,1,0,1,-1,0,22,3
2009,ATL,Eric,Boulton,L,forwards,36,72,227,1976-08-17,Halifax,CAN,Nova Scotia,76,3,10,13,-3,176,33,8
2009,ATL,Eric,Boulton,L,forwards,36,72,227,1976-08-17,Halifax,CAN,Nova Scotia,45,3,4,7,2,49,33,8
2009,ATL,Ilya,Kovalchuk,L,forwards,17,75,222,1983-04-15,Tver,RUS,NA,79,43,48,91,-12,50,26,4
2009,ATL,Ilya,Kovalchuk,L,forwards,17,75,222,1983-04-15,Tver,RUS,NA,82,42,34,76,-2,66,26,4
2009,ATL,Vyacheslav,Kozlov,L,forwards,13,70,190,1972-05-03,Voskresensk,RUS,NA,82,26,50,76,-14,44,37,5
2009,ATL,Vyacheslav,Kozlov,L,forwards,13,70,190,1972-05-03,Voskresensk,RUS,NA,81,28,52,80,9,36,37,5
2009,ATL,Bryan,Little,C,forwards,10,72,191,1987-11-12,Edmonton,CAN,Alberta,79,31,20,51,-5,24,22,11
2009,ATL,Clarke,MacArthur,L,forwards,41,72,192,1985-04-06,Lloydminster,CAN,Alberta,71,17,14,31,-4,56,24,4
2009,ATL,Clarke,MacArthur,L,forwards,41,72,192,1985-04-06,Lloydminster,CAN,Alberta,19,3,4,7,4,4,24,4
2009,ATL,Rich,Peverley,C,forwards,47,71,195,1982-07-08,Kingston,CAN,Ontario,66,15,29,44,13,33,27,7
2009,ATL,Rich,Peverley,C,forwards,47,71,195,1982-07-08,Kingston,CAN,Ontario,13,0,1,1,-1,0,27,7
2009,ATL,Marty,Reasoner,C,forwards,19,73,197,1977-02-26,Honeoye Falls,USA,New York,79,14,16,30,11,36,32,2
2009,ATL,Marty,Reasoner,C,forwards,19,73,197,1977-02-26,Honeoye Falls,USA,New York,72,6,14,20,-15,60,32,2
2009,ATL,Jim,Slater,C,forwards,23,72,195,1982-12-09,Lapeer,USA,Michigan,60,8,10,18,0,52,27,12
2009,ATL,Jim,Slater,C,forwards,23,72,195,1982-12-09,Lapeer,USA,Michigan,74,5,14,19,8,62,27,12
2009,ATL,Tim,Stapleton,C,forwards,14,69,180,1982-07-19,Forest Park,USA,Illinois,4,1,0,1,-3,0,27,7
2009,ATL,Chris,Thorburn,R,forwards,27,75,235,1983-06-03,Sault Ste. Marie,CAN,Ontario,82,7,8,15,-10,104,26,6
2009,ATL,Chris,Thorburn,R,forwards,27,75,235,1983-06-03,Sault Ste. Marie,CAN,Ontario,39,3,2,5,1,69,26,6
2009,ATL,Todd,White,C,forwards,12,70,198,1975-05-21,Kanata,CAN,Ontario,82,22,51,73,-9,24,34,5
2009,ATL,Todd,White,C,forwards,12,70,198,1975-05-21,Kanata,CAN,Ontario,77,13,31,44,8,24,34,5
2009,ATL,Zach,Bogosian,D,defensemen,4,74,222,1990-07-15,Massena,USA,New York,47,9,10,19,11,47,19,7
2009,ATL,Toby,Enstrom,D,defensemen,39,70,180,1984-11-05,Nordingra,SWE,NA,82,5,27,32,14,52,25,11
2009,ATL,Ron,Hainsey,D,defensemen,6,75,201,1981-03-24,Bolton,USA,Connecticut,81,6,33,39,-16,32,28,3
2009,ATL,Ron,Hainsey,D,defensemen,6,75,201,1981-03-24,Bolton,USA,Connecticut,80,9,25,34,-19,69,28,3
2009,ATL,Pavel,Kubina,D,defensemen,77,76,258,1977-04-15,Celadna,CZE,NA,82,14,26,40,-15,94,32,4
2009,ATL,Pavel,Kubina,D,defensemen,77,76,258,1977-04-15,Celadna,CZE,NA,61,7,14,21,7,48,32,4
2009,ATL,Johnny,Oduya,D,defensemen,29,72,191,1981-10-01,Stockholm,SWE,NA,82,7,22,29,21,30,28,10
2009,ATL,Johnny,Oduya,D,defensemen,29,72,191,1981-10-01,Stockholm,SWE,NA,76,2,9,11,-5,61,28,10
2009,ATL,Mark,Popovic,D,defensemen,3,73,205,1982-10-11,Stoney Creek,CAN,Ontario,3,0,1,1,1,0,27,10
2009,ATL,Anssi,Salmela,D,defensemen,25,73,200,1984-08-13,Nokia,FIN,NA,26,1,5,6,1,8,25,8
2009,ATL,Christoph,Schubert,D,defensemen,16,75,230,1982-02-05,Munich,DEU,NA,50,3,3,6,-8,26,27,2
2009,ATL,Christoph,Schubert,D,defensemen,16,75,230,1982-02-05,Munich,DEU,NA,80,8,17,25,30,56,27,2
2009,ATL,Boris,Valabik,D,defensemen,5,79,255,1986-02-14,Nitra,SVK,NA,50,0,5,5,-14,132,23,2
2010,ATL,Nik,Antropov,C,forwards,80,78,245,1980-02-18,Ust-Kamenogorsk,KAZ,NA,76,24,43,67,13,44,30,2
2010,ATL,Niclas,Bergfors,R,forwards,18,70,194,1987-03-07,Sodertalje,SWE,NA,81,21,23,44,-10,10,23,3
2010,ATL,Eric,Boulton,L,forwards,36,72,227,1976-08-17,Halifax,CAN,Nova Scotia,62,2,6,8,-1,113,34,8
2010,ATL,Nigel,Dawes,R,forwards,15,69,200,1985-02-09,Winnipeg,CAN,Manitoba,66,14,18,32,1,18,25,2
2010,ATL,Radek,Dvorak,R,forwards,20,74,195,1977-03-09,Tabor,CZE,NA,76,14,18,32,-7,20,33,3
2010,ATL,Ben,Eager,L,forwards,21,74,226,1984-01-22,Ottawa,CAN,Ontario,60,7,9,16,9,120,26,1
2010,ATL,Evander,Kane,L,forwards,9,74,210,1991-08-02,Vancouver,CAN,British Columbia,66,14,12,26,2,62,19,8
2010,ATL,Andrew,Ladd,L,forwards,16,75,205,1985-12-12,Maple Ridge,CAN,British Columbia,82,17,21,38,2,67,25,12
2010,ATL,Bryan,Little,C,forwards,10,72,191,1987-11-12,Edmonton,CAN,Alberta,79,13,21,34,-6,20,23,11
2010,ATL,Ben,Maxwell,C,forwards,49,73,195,1988-03-30,North Vancouver,CAN,British Columbia,13,0,0,0,-2,6,22,3
2010,ATL,Rich,Peverley,C,forwards,47,71,195,1982-07-08,Kingston,CAN,Ontario,82,22,33,55,-14,36,28,7
2010,ATL,Rob,Schremp,C,forwards,13,71,200,1986-07-01,Fulton,USA,New York,44,7,18,25,-4,8,24,7
2010,ATL,Jim,Slater,C,forwards,23,72,195,1982-12-09,Lapeer,USA,Michigan,61,11,7,18,1,60,28,12
2010,ATL,Tim,Stapleton,C,forwards,14,69,180,1982-07-19,Forest Park,USA,Illinois,6,2,0,2,1,2,28,7
2010,ATL,Chris,Thorburn,R,forwards,27,75,235,1983-06-03,Sault Ste. Marie,CAN,Ontario,76,4,9,13,6,89,27,6
2010,ATL,Blake,Wheeler,R,forwards,26,77,220,1986-08-31,Plymouth,USA,Minnesota,82,18,20,38,-4,53,24,8
2010,ATL,Zach,Bogosian,D,defensemen,4,74,222,1990-07-15,Massena,USA,New York,81,10,13,23,-18,61,20,7
2010,ATL,Dustin,Byfuglien,D,defensemen,33,77,260,1985-03-27,Roseau,USA,Minnesota,82,17,17,34,-7,94,25,3
2010,ATL,Toby,Enstrom,D,defensemen,39,70,180,1984-11-05,Nordingra,SWE,NA,82,6,44,50,-5,30,26,11
2010,ATL,Ron,Hainsey,D,defensemen,6,75,201,1981-03-24,Bolton,USA,Connecticut,80,5,21,26,-6,39,29,3
2010,ATL,Arturs,Kulda,D,defensemen,44,74,215,1988-07-25,Riga,LVA,NA,4,0,2,2,2,2,22,7
2010,ATL,Freddy,Meyer,D,defensemen,24,70,185,1981-01-04,Sanbornville,USA,New Hampshire,64,4,11,15,-2,40,29,1
2010,ATL,Johnny,Oduya,D,defensemen,29,72,191,1981-10-01,Stockholm,SWE,NA,67,3,10,13,8,30,29,10
2010,ATL,Brent,Sopel,D,defensemen,3,74,205,1977-01-07,Calgary,CAN,Alberta,73,1,7,8,3,34,33,1
2010,ATL,Mark,Stuart,D,defensemen,5,74,215,1984-04-27,Rochester,USA,Minnesota,56,2,5,7,1,80,26,4
2006,NJD,Sergei,Brylin,C,forwards,18,70,190,1974-01-13,Moscow,RUS,NA,82,15,22,37,-4,46,32,1
2006,NJD,Jim,Dowd,C,forwards,12,72,180,1968-12-25,Brick,USA,New Jersey,78,5,13,18,-11,40,38,12
2006,NJD,Patrik,Elias,C,forwards,26,73,190,1976-04-13,Trebic,CZE,NA,38,16,29,45,11,20,30,4
2006,NJD,Brian,Gionta,R,forwards,14,67,178,1979-01-18,Rochester,USA,New York,82,48,41,89,18,46,27,1
2006,NJD,Scott,Gomez,C,forwards,21,71,200,1979-12-23,Anchorage,USA,Alaska,82,33,51,84,8,42,27,12
2006,NJD,Cam,Janssen,R,forwards,25,72,215,1984-04-15,St. Louis,USA,Missouri,47,0,0,0,-3,91,22,4
2006,NJD,Jamie,Langenbrunner,R,forwards,15,73,205,1975-07-24,Cloquet,USA,Minnesota,80,19,34,53,-1,74,31,7
2006,NJD,John,Madden,C,forwards,11,71,190,1973-05-04,Toronto,CAN,Ontario,82,16,20,36,-7,36,33,5
2006,NJD,Jay,Pandolfo,L,forwards,20,73,190,1974-12-27,Winchester,USA,Massachusetts,82,10,10,20,2,16,32,12
2006,NJD,Zach,Parise,L,forwards,9,71,195,1984-07-28,Minneapolis,USA,Minnesota,81,14,18,32,-1,28,22,7
2006,NJD,Tuomas,Pihlman,L,forwards,46,74,215,1982-11-13,Espoo,FIN,NA,11,1,1,2,-1,10,24,11
2006,NJD,Erik,Rasmussen,C,forwards,10,73,210,1977-03-28,Minneapolis,USA,Minnesota,67,5,5,10,-4,32,29,3
2006,NJD,Mike,Rupp,C,forwards,17,77,235,1980-01-13,Cleveland,USA,Ohio,40,4,2,6,-3,58,26,1
2006,NJD,Barry,Tallackson,R,forwards,21,77,215,1983-04-14,Grafton,USA,North Dakota,10,1,1,2,-2,2,23,4
2006,NJD,Jim,Fahey,D,defensemen,6,72,205,1979-05-11,Boston,USA,Massachusetts,21,0,2,2,-11,14,27,5
2006,NJD,David,Hale,D,defensemen,36,73,222,1981-06-18,Colorado Springs,USA,Colorado,38,0,4,4,5,21,25,6
2006,NJD,Brad,Lukowich,D,defensemen,21,73,191,1976-08-12,Cranbrook,CAN,British Columbia,75,2,19,21,0,40,30,8
2006,NJD,Paul,Martin,D,defensemen,7,73,200,1981-03-05,Minneapolis,USA,Minnesota,80,5,32,37,1,32,25,3
2006,NJD,Richard,Matvichuk,D,defensemen,24,75,210,1973-02-05,Edmonton,CAN,Alberta,62,1,10,11,2,40,33,2
2006,NJD,Brian,Rafalski,D,defensemen,28,70,194,1973-09-28,Dearborn,USA,Michigan,82,6,43,49,0,36,33,9
2006,NJD,Colin,White,D,defensemen,5,76,215,1977-12-12,New Glasgow,CAN,Nova Scotia,73,3,14,17,-2,91,29,12
2007,NJD,Arron,Asham,R,forwards,22,71,210,1978-04-13,Portage la Prairie,CAN,Manitoba,80,11,12,23,3,63,29,4
2007,NJD,Sergei,Brylin,C,forwards,18,70,190,1974-01-13,Moscow,RUS,NA,82,16,24,40,-5,35,33,1
2007,NJD,Noah,Clarke,L,forwards,12,69,190,1979-06-11,La Verne,USA,California,13,2,0,2,-6,4,28,6
2007,NJD,David,Clarkson,R,forwards,23,72,207,1984-03-31,Toronto,CAN,Ontario,7,3,1,4,-1,6,23,3
2007,NJD,Patrik,Elias,C,forwards,26,73,190,1976-04-13,Trebic,CZE,NA,75,21,48,69,1,38,31,4
2007,NJD,Brian,Gionta,R,forwards,14,67,178,1979-01-18,Rochester,USA,New York,62,25,20,45,-3,36,28,1
2007,NJD,Jamie,Langenbrunner,R,forwards,15,73,205,1975-07-24,Cloquet,USA,Minnesota,82,23,37,60,-9,64,32,7
2007,NJD,John,Madden,C,forwards,11,71,190,1973-05-04,Toronto,CAN,Ontario,74,12,20,32,-7,14,34,5
2007,NJD,Jay,Pandolfo,L,forwards,20,73,190,1974-12-27,Winchester,USA,Massachusetts,82,13,14,27,-5,8,33,12
2007,NJD,Zach,Parise,L,forwards,9,71,195,1984-07-28,Minneapolis,USA,Minnesota,82,31,31,62,-3,30,23,7
2007,NJD,Rod,Pelley,C,forwards,10,72,205,1984-09-01,Kitimat,CAN,British Columbia,9,0,0,0,-3,0,23,9
2007,NJD,Mike,Rupp,C,forwards,17,77,235,1980-01-13,Cleveland,USA,Ohio,76,6,3,9,-10,92,27,1
2007,NJD,Barry,Tallackson,R,forwards,21,77,215,1983-04-14,Grafton,USA,North Dakota,3,0,0,0,-1,0,24,4
2007,NJD,Travis,Zajac,C,forwards,19,74,185,1985-05-13,Winnipeg,CAN,Manitoba,80,17,25,42,1,16,22,5
2007,NJD,Dainius,Zubrus,L,forwards,8,77,225,1978-06-16,Elektrenai,LTU,NA,79,24,36,60,-19,62,29,6
2007,NJD,Sheldon,Brookbank,D,defensemen,2,73,202,1980-10-03,Lanigan,CAN,Saskatchewan,3,0,1,1,0,12,27,10
2007,NJD,Andy,Greene,D,defensemen,6,71,190,1982-10-30,Trenton,USA,Michigan,23,1,5,6,-1,6,25,10
2007,NJD,Paul,Martin,D,defensemen,7,73,200,1981-03-05,Minneapolis,USA,Minnesota,82,3,23,26,-9,18,26,3
2007,NJD,Johnny,Oduya,D,defensemen,29,72,191,1981-10-01,Stockholm,SWE,NA,76,2,9,11,-5,61,26,10
2007,NJD,Karel,Rachunek,D,defensemen,28,74,220,1979-08-27,Zlin,CZE,NA,66,6,20,26,-9,38,28,8
2007,NJD,Bryce,Salvador,D,defensemen,24,75,215,1976-02-11,Brandon,CAN,Manitoba,64,2,5,7,-5,55,31,2
2007,NJD,Vitaly,Vishnevski,D,defensemen,2,74,215,1980-03-18,Kharkov,UKR,NA,67,3,10,13,-4,41,27,3
2007,NJD,Colin,White,D,defensemen,5,76,215,1977-12-12,New Glasgow,CAN,Nova Scotia,69,0,8,8,-8,69,30,12
2008,NJD,Niclas,Bergfors,R,forwards,18,70,194,1987-03-07,Sodertalje,SWE,NA,1,0,0,0,-1,0,21,3
2008,NJD,David,Clarkson,R,forwards,23,72,207,1984-03-31,Toronto,CAN,Ontario,81,9,13,22,1,183,24,3
2008,NJD,Patrik,Elias,C,forwards,26,73,190,1976-04-13,Trebic,CZE,NA,74,20,35,55,10,38,32,4
2008,NJD,Brian,Gionta,R,forwards,14,67,178,1979-01-18,Rochester,USA,New York,82,22,31,53,1,46,29,1
2008,NJD,Bobby,Holik,C,forwards,16,76,230,1971-01-01,Jihlava,CZE,NA,82,15,19,34,-14,90,37,1
2008,NJD,Jamie,Langenbrunner,R,forwards,15,73,205,1975-07-24,Cloquet,USA,Minnesota,64,13,28,41,-1,30,33,7
2008,NJD,John,Madden,C,forwards,11,71,190,1973-05-04,Toronto,CAN,Ontario,80,20,23,43,1,26,35,5
2008,NJD,Jay,Pandolfo,L,forwards,20,73,190,1974-12-27,Winchester,USA,Massachusetts,54,12,12,24,10,22,34,12
2008,NJD,Zach,Parise,L,forwards,9,71,195,1984-07-28,Minneapolis,USA,Minnesota,81,32,33,65,13,25,24,7
2008,NJD,Brian,Rolston,L,forwards,12,74,215,1973-02-21,Flint,USA,Michigan,81,31,28,59,-1,53,35,2
2008,NJD,Mike,Rupp,C,forwards,17,77,235,1980-01-13,Cleveland,USA,Ohio,64,3,6,9,-8,58,28,1
2008,NJD,Barry,Tallackson,R,forwards,21,77,215,1983-04-14,Grafton,USA,North Dakota,3,0,0,0,0,0,25,4
2008,NJD,Travis,Zajac,C,forwards,19,74,185,1985-05-13,Winnipeg,CAN,Manitoba,82,14,20,34,-11,31,23,5
2008,NJD,Dainius,Zubrus,L,forwards,8,77,225,1978-06-16,Elektrenai,LTU,NA,82,13,25,38,2,38,30,6
2008,NJD,Sheldon,Brookbank,D,defensemen,2,73,202,1980-10-03,Lanigan,CAN,Saskatchewan,44,0,8,8,0,63,28,10
2008,NJD,Andy,Greene,D,defensemen,6,71,190,1982-10-30,Trenton,USA,Michigan,59,2,8,10,0,22,26,10
2008,NJD,Niclas,Havelid,D,defensemen,28,72,200,1973-04-12,Stockholm,SWE,NA,81,1,13,14,2,42,35,4
2008,NJD,Jay,Leach,D,defensemen,33,77,220,1979-09-02,Syracuse,USA,New York,2,0,0,0,-1,0,29,9
2008,NJD,Paul,Martin,D,defensemen,7,73,200,1981-03-05,Minneapolis,USA,Minnesota,73,5,27,32,20,22,27,3
2008,NJD,Mike,Mottau,D,defensemen,27,72,195,1978-03-19,Quincy,USA,Massachusetts,76,4,13,17,-11,48,30,3
2008,NJD,Johnny,Oduya,D,defensemen,29,72,191,1981-10-01,Stockholm,SWE,NA,75,6,20,26,27,46,27,10
2008,NJD,Bryce,Salvador,D,defensemen,24,75,215,1976-02-11,Brandon,CAN,Manitoba,64,1,10,11,12,54,32,2
2008,NJD,Colin,White,D,defensemen,5,76,215,1977-12-12,New Glasgow,CAN,Nova Scotia,57,2,8,10,-5,26,31,12
2009,NJD,Niclas,Bergfors,R,forwards,18,70,194,1987-03-07,Sodertalje,SWE,NA,8,1,0,1,-1,0,22,3
2009,NJD,David,Clarkson,R,forwards,23,72,207,1984-03-31,Toronto,CAN,Ontario,82,17,15,32,-1,164,25,3
2009,NJD,David,Clarkson,R,forwards,23,72,207,1984-03-31,Toronto,CAN,Ontario,7,3,1,4,-1,6,25,3
2009,NJD,Patrick,Davis,R,forwards,21,74,195,1986-12-28,Sterling Heights,USA,Michigan,1,0,0,0,0,0,23,12
